ID,Study,Study design,LOE,N,M/F,Male,Female,Age (years),Age,SD,Follow-up,IKDC subjective,IKDC objective,Lachman,Lysholm,Tegner,Q-LSI,Q-LSI isometric,Q-LSI isokinetic 60,Q-LSI isokinetic 90,Q-LSI isokinetic 180,Q-LSI isokinetic 240,H-LSI,H-LSI isometric,H-LSI isokinetic 60,H-LSI isokinetic 90,H-LSI isokinetic 180,H-LSI isokinetic 240,Marx,KOOS,KOOS ADL,KOOS pain,KOOS sport,KOOS symptoms,KOOS QoL,Pivot shift,Instrumental laxity,VAS,Graft rupture,Donor site morbidity,Arthrofibrosis,SLHT,Patellar fracture
79,"Schwery et al., 2022",Retrospective comparative study,III,17,NR,,,18.5 ± 5.1,18.5,5.1,9.23,,,,,,✓,✓,,,,,,,,,,,,,,,,,,,,,,,,,
80,"Setliff et al., 2023",Retrospective comparative study,III,147,77/70,77,70,21.8 ± 7.4,21.8,7.4,17,✓,,✓,,,,,,,,,,,,,,,✓,,,,,,,✓,✓,✓,✓,,,,✓
81,"Setliff et al., 2023",Retrospective comparative study,III,48,37/11,37,11,21.7 ± 6.3,21.7,6.3,17,✓,,✓,,,,,,,,,,,,,,,✓,,,,,,,✓,✓,✓,✓,,,,✓
82,"Sinding et al., 2020",Randomized controlled trial,II,42,25/17,25,17,28.7 ± 6.4,28.7,6.4,12.4,✓,,,,,✓,✓,✓,,✓,,✓,✓,✓,,✓,,,,,,,,,,,,,,,✓,
83,"Sofu et al., 2013",Retrospective comparative study,III,23,21/2,21,2,26.8,26.8,,37.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,
84,"Tang et al., 2023",Randomized controlled trial,I,17,17/0,17,0,28.1 ± 6.2,28.1,6.2,24,✓,,,✓,,,,,,,,,,,,,,,✓,,,,,,,✓,,,,,,
85,"Tashman et al., 2021",Randomized controlled trial,I,57,38/19,38,19,21.7 ± 7.3,21.7,7.3,24,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,
86,"Tirupathi et al., 2019",Randomized controlled trial,II,44,NR,,,NR,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,✓,✓,,,
87,"Todor et al., 2019",Retrospective comparative study,III,39,26/13,26,13,30.6 ± 8.7,30.6,8.7,33.76,,,,✓,,,,,,,,,,,,,,,,,,,,,,✓,,✓,,✓,,
88,"Vilchez-Cavazos et al., 2020",Randomized controlled trial,II,14,11/3,11,3,24.5 ± 9.1,24.5,9.1,12,✓,,✓,✓,,,,,,,,,,,,,,,,,,,,,,,✓,,✓,,,
89,"von Essen et al., 2022",Prospective comparative study,II,40,24/16,24,16,29.4 ± 7.9,29.4,7.9,6,,,✓,,,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,,✓,,
90,"Yamasaki et al., 2023",Case-control study,III,21,12/9,12,9,20.4 ± 5.6,20.4,5.6,38.59,,,,✓,,,,,,,,,,,,,,,,,,,,,✓,✓,,✓,,✓,,
91,"Zhou et al., 2023",Retrospective comparative study,III,107,48/59,48,59,29.7 ± 11.9,29.7,11.9,24,,,,,,,,,,,,,,,,,,✓,,✓,✓,✓,✓,✓,,,,✓,,,,
92,"Herman et al., 2023",Retrospective comparative study,III,14,0/14,0,14,19.7 ± 5.4,19.7,5.4,54,✓,,,,✓,,,,,,,,,,,,,✓,,,,,,,,,,✓,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
